model,genre,lexical_diversity,avg_sentence_length,adj_ratio,verb_ratio,noun_ratio,punct_frequency
qwen,narration,0.698,18.714,0.061,0.16,0.176,0.191
qwen,narration,0.709,23.333,0.121,0.1,0.214,0.164
qwen,narration,0.683,21.167,0.071,0.197,0.213,0.181
qwen,argumentation,0.717,17.833,0.131,0.15,0.327,0.14
qwen,argumentation,0.705,15.111,0.14,0.147,0.301,0.176
qwen,argumentation,0.728,15.857,0.135,0.117,0.306,0.171
qwen,dialogue,0.631,9.947,0.116,0.127,0.233,0.354
qwen,dialogue,0.635,7.808,0.133,0.128,0.232,0.433
qwen,dialogue,0.642,8.5,0.108,0.147,0.26,0.412
qwen,description,0.815,19.0,0.116,0.084,0.316,0.147
qwen,description,0.758,17.333,0.058,0.087,0.346,0.125
qwen,description,0.725,18.167,0.073,0.073,0.349,0.165
qwen72,narration,0.725,21.5,0.105,0.122,0.215,0.198
qwen72,narration,0.691,24.333,0.089,0.158,0.219,0.158
qwen72,narration,0.7,15.0,0.079,0.133,0.255,0.212
qwen72,argumentation,0.656,23.75,0.126,0.126,0.295,0.158
qwen72,argumentation,0.702,25.286,0.153,0.13,0.266,0.147
qwen72,argumentation,0.669,25.833,0.135,0.129,0.297,0.161
qwen72,dialogue,0.607,7.214,0.064,0.168,0.198,0.282
qwen72,dialogue,0.576,6.897,0.065,0.165,0.16,0.3
qwen72,dialogue,0.629,7.308,0.074,0.163,0.205,0.263
qwen72,description,0.667,21.143,0.074,0.101,0.304,0.128
qwen72,description,0.688,17.714,0.065,0.105,0.331,0.121
qwen72,description,0.656,24.0,0.076,0.111,0.306,0.132
qwen3,narration,0.75,13.545,0.054,0.201,0.235,0.248
qwen3,narration,0.701,19.0,0.086,0.178,0.237,0.23
qwen3,narration,0.701,14.75,0.056,0.136,0.311,0.282
qwen3,argumentation,0.728,17.778,0.125,0.169,0.338,0.219
qwen3,argumentation,0.754,16.5,0.085,0.17,0.352,0.212
qwen3,argumentation,0.775,14.818,0.117,0.166,0.356,0.209
qwen3,dialogue,0.689,10.0,0.152,0.116,0.308,0.524
qwen3,dialogue,0.713,10.739,0.154,0.134,0.291,0.478
qwen3,dialogue,0.613,10.75,0.062,0.143,0.291,0.519
qwen3,description,0.703,21.625,0.069,0.098,0.329,0.162
qwen3,description,0.684,18.4,0.087,0.109,0.304,0.158
qwen3,description,0.71,18.556,0.054,0.126,0.353,0.174
